crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat
0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,396.21,8.1
0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09
0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72
0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52
0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,7.54
0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,394.92,6.78
0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,383.23,8.94
0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97
0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27
0.04741,0,11.93,0,0.573,6.03,80.8,2.505,1,273,21,396.9,7.88
